year,DEP,Ludovic_proportion,Jean_proportion,Victor_proportion,Marie_proportion,Jeanne_proportion,Sophie_proportion
1960,17,0,0.0060916179337232,0,0.00568769389865564,0.00103412616339193,0.00801447776628749
1961,17,0.000715990453460621,0.0045346062052506,0.000715990453460621,0.00529901589704769,0,0.0123643704264446
1962,17,0.000970167353868542,0.0075187969924812,0,0.0030808729139923,0.00128369704749679,0.023620025673941
1963,17,0.00287700791177176,0.00431551186765764,0,0.00238095238095238,0.000793650793650794,0.0142857142857143
1964,17,0.00267055110463705,0.00485554746297645,0,0.00130582397492818,0.00104465917994254,0.0271611386785061
1965,17,0.00154241645244216,0.00437017994858612,0,0.00249031543995573,0,0.0196458218040952
1966,17,0.00532319391634981,0.0055766793409379,0,0.00211752249867655,0,0.0320275277924828
1967,17,0.00752890561979027,0.00887335305189567,0,0.00345224395857307,0,0.0322209436133487
1968,17,0.00972492358988608,0.00694637399277577,0,0.00322108345534407,0,0.0371888726207906
1969,17,0.00986031224322103,0.00438236099698713,0,0.00288267512251369,0,0.0337272989334102
1970,17,0.017022426371251,0.00351256417184545,0,0.00175438596491228,0,0.041812865497076
1971,17,0.0141955835962145,0.00236593059936909,0,0.00195367010884733,0,0.0415852637454647
1972,17,0.0164456233421751,0.00212201591511936,0,0.00293772032902468,0,0.0331962397179788
1973,17,0.0146190610064661,0.0022490863086871,0,0.00400246305418719,0,0.0292487684729064
1974,17,0.0165087129318251,0.00183430143686946,0.000917150718434729,0.00307902839548409,0,0.0280533698255217
1975,17,0.0212981744421907,0,0,0.00407407407407407,0,0.0233333333333333
1976,17,0.027706890266132,0.002187386073642,0.001093693036821,0.0055577610162763,0,0.0206431123461691
1977,17,0.0276052449965493,0.0031055900621118,0,0.00749906261717285,0,0.0194975628046494
1978,17,0.0271360469380271,0.0066006600660066,0,0.0146014206787687,0,0.010655090765588
1979,17,0.0268389662027833,0.00497017892644135,0,0.00996677740863787,0,0.0151347360649686
1980,17,0.0226764611945065,0.0140530182050463,0.000958160332162248,0.0164461923489453,0,0.0153736145870576
1981,17,0.0196270853778214,0.0098135426889107,0.00098135426889107,0.0148429409734208,0,0.0113910942354159
1982,17,0.0153538050734312,0.00233644859813084,0.00133511348464619,0.0135481508604907,0.00109849871841816,0.0135481508604907
1983,17,0.0174377224199288,0.00782918149466192,0,0.0154283394234673,0,0.0150223304912708
1984,17,0.018008085262771,0.00330760749724366,0.00147004777655274,0.0188834154351396,0,0.0155993431855501
1985,17,0.0159436410826845,0.00185391175380052,0.00111234705228031,0.0218861918026263,0.00119379228014326,0.0119379228014326
1986,17,0.0114531138153185,0.00357909806728704,0.00107372942018611,0.0209568999604587,0,0.00948991696322657
1987,17,0.00842266462480858,0.00267993874425727,0.00229709035222052,0.0181518151815182,0,0.0144389438943894
1988,17,0.00748783227255709,0.00187195806813927,0.00224634968176713,0.0192693697310317,0,0.0124448012846246
1989,17,0.00715630885122411,0.00112994350282486,0.00451977401129944,0.0152979066022544,0,0.00644122383252818
1990,17,0.00376789751318764,0,0.00301431801055011,0.016366612111293,0.00122749590834697,0.00981996726677578
1991,17,0.00388048117966628,0.0027163368257664,0.0069848661233993,0.0185348631950574,0,0.00706090026478376
1992,17,0.00438421681944998,0.00199282582702272,0.00557991231566361,0.0208616780045351,0.00136054421768707,0.00634920634920635
1993,17,0.00378628523348759,0.00378628523348759,0.00294488851493479,0.0228206298493838,0.00228206298493838,0.00547695116385212
1994,17,0.00264200792602378,0.00308234258036107,0.00704535446939674,0.0192973775358733,0.0024740227610094,0.0024740227610094
1995,17,0.00330305532617671,0.00247729149463253,0.00867052023121387,0.0231607629427793,0.00499545867393279,0.0036330608537693
1996,17,0.00562023283821758,0.00240867121637896,0.0112404656764352,0.0226735947094946,0.00472366556447803,0.00236183278223902
1997,17,0.00209643605870021,0,0.010062893081761,0.0144857556735876,0.00289715113471753,0.00193143408981169
1998,17,0.00321543408360129,0.00281350482315113,0.010048231511254,0.0195439739413681,0.00325732899022801,0.00372266170311773
